time,speed,latitude,longitude
03/02/2019_18:52:10,0.1,42.99498238333334,-81.2633648
03/02/2019_18:52:12,0.2,42.99498103333333,-81.26336223333334
03/02/2019_18:52:14,0.1,42.99497958333333,-81.26336096666667
03/02/2019_18:52:16,0.0,42.99497915,-81.26336011666666
03/02/2019_18:52:18,0.1,42.9949789,-81.2633597
03/02/2019_18:52:20,0.0,42.9949786,-81.26335966666667
03/02/2019_18:52:22,0.1,42.99497771666667,-81.26335976666667
03/02/2019_18:52:24,0.1,42.994977133333336,-81.26335928333333
03/02/2019_18:52:26,0.1,42.994976816666664,-81.26335861666666
03/02/2019_18:52:28,0.7,42.99497841666667,-81.26335381666667
03/02/2019_18:52:30,1.3,42.99497636666667,-81.26335063333333
03/02/2019_18:52:32,0.8,42.99496821666666,-81.26334871666667
03/02/2019_18:52:34,0.1,42.99495935,-81.26334086666667
03/02/2019_18:52:36,0.6,42.994948083333334,-81.26333041666666
03/02/2019_18:52:38,1.0,42.994946383333335,-81.26332156666666
03/02/2019_18:52:40,1.1,42.99494923333334,-81.26331648333333
03/02/2019_18:52:42,0.6,42.994947483333334,-81.26331568333333
03/02/2019_18:52:44,0.6,42.994946533333334,-81.26331343333334
03/02/2019_18:52:46,0.7,42.99494668333333,-81.26330778333333
03/02/2019_18:52:48,0.2,42.99494318333333,-81.26330698333334
03/02/2019_18:52:50,0.5,42.99494191666667,-81.2633058
03/02/2019_18:52:52,0.7,42.994940983333336,-81.2633044
03/02/2019_18:52:54,2.2,42.9949352,-81.26329893333333
03/02/2019_18:52:56,1.5,42.9949296,-81.26329323333333
03/02/2019_18:52:58,1.8,42.994928,-81.26328603333333
03/02/2019_18:53:00,0.9,42.99492563333333,-81.26327728333334
03/02/2019_18:53:02,0.5,42.99492016666667,-81.26327171666667
03/02/2019_18:53:04,0.1,42.9949184,-81.2632707
03/02/2019_18:53:06,1.5,42.99492165,-81.26326846666667
03/02/2019_18:53:08,1.3,42.99491523333333,-81.26325623333334
03/02/2019_18:53:10,0.9,42.994909283333335,-81.26324458333333
03/02/2019_18:53:12,0.1,42.9949089,-81.26324255
03/02/2019_18:53:14,0.0,42.99490835,-81.26324198333333
03/02/2019_18:53:16,0.1,42.994907266666665,-81.26324165
03/02/2019_18:53:18,0.6,42.99490616666667,-81.26324038333334
03/02/2019_18:53:20,0.1,42.994903683333334,-81.26323795
03/02/2019_18:53:22,0.1,42.99490238333333,-81.2632316
03/02/2019_18:53:24,0.1,42.99490225,-81.26323
03/02/2019_18:53:26,0.1,42.99490273333333,-81.26322948333333
03/02/2019_18:53:28,0.1,42.99490311666667,-81.26322888333333
03/02/2019_18:53:30,2.2,42.9949018,-81.26322178333334
03/02/2019_18:53:32,0.2,42.99489445,-81.2631994
03/02/2019_18:53:34,0.1,42.9948921,-81.26315793333333
03/02/2019_18:53:36,0.1,42.994890033333334,-81.2631535
03/02/2019_18:53:38,0.1,42.99488863333333,-81.26315248333333
03/02/2019_18:53:40,0.0,42.994887633333335,-81.26315363333333
03/02/2019_18:53:42,0.1,42.99488698333333,-81.26315418333333
03/02/2019_18:53:44,0.1,42.99488651666667,-81.26315506666667
03/02/2019_18:53:46,0.1,42.9948861,-81.26315541666666
03/02/2019_18:53:48,0.1,42.99488576666667,-81.26315555
03/02/2019_18:53:50,1.3,42.9948858,-81.26315635
03/02/2019_18:53:52,0.0,42.994885116666666,-81.2631564
03/02/2019_18:53:54,0.1,42.994884983333336,-81.26315618333334
03/02/2019_18:53:56,0.1,42.994885616666664,-81.26315646666667
03/02/2019_18:53:58,0.2,42.994886816666664,-81.26315698333333
03/02/2019_18:54:00,0.1,42.99488888333333,-81.26315743333333
03/02/2019_18:54:02,0.2,42.99489033333333,-81.26315805
03/02/2019_18:54:04,0.1,42.99489075,-81.26316753333333
03/02/2019_18:54:06,2.4,42.99490168333333,-81.26316181666667
03/02/2019_18:54:08,3.4,42.994912033333335,-81.2631552
03/02/2019_18:54:10,3.4,42.994917666666666,-81.26313865
03/02/2019_18:54:12,3.2,42.994920783333335,-81.26312515
03/02/2019_18:54:14,3.3,42.99494375,-81.26311888333333
03/02/2019_18:54:16,3.9,42.99497231666667,-81.26314648333333
03/02/2019_18:54:18,2.6,42.995008633333335,-81.26317083333333
03/02/2019_18:54:20,1.5,42.99502523333334,-81.26318198333334
03/02/2019_18:54:22,0.2,42.99503481666667,-81.26318623333333
03/02/2019_18:54:24,0.9,42.99503625,-81.26318768333333
03/02/2019_18:54:26,0.8,42.99503753333333,-81.2631881
03/02/2019_18:54:28,1.6,42.99503975,-81.26318721666667
03/02/2019_18:54:30,2.3,42.99503936666667,-81.2631926
03/02/2019_18:54:32,3.3,42.99504423333333,-81.26320465
03/02/2019_18:54:34,3.1,42.99505956666667,-81.26321156666667
03/02/2019_18:54:36,3.0,42.9950686,-81.26321866666666
03/02/2019_18:54:38,3.2,42.99507796666666,-81.2632333
03/02/2019_18:54:40,3.1,42.99508676666667,-81.26323491666666
03/02/2019_18:54:42,3.1,42.99509081666667,-81.26322386666666
03/02/2019_18:54:44,1.9,42.9951141,-81.26323026666667
03/02/2019_18:54:46,3.2,42.995119466666665,-81.26320983333333
03/02/2019_18:54:48,2.9,42.99513243333333,-81.26322026666666
03/02/2019_18:54:50,2.8,42.99515413333334,-81.26321993333333
03/02/2019_18:54:52,3.1,42.99517981666666,-81.2632366
